2025-06-02 13:12:41,615 - INFO - Server started on localhost:8888
2025-06-02 13:13:24,225 - ERROR - Server error: [WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted
2025-06-02 13:13:24,225 - INFO - Server shutdown complete
2025-06-02 19:37:51,593 - INFO - Client ('127.0.0.1', 55854) disconnected
2025-06-02 19:37:51,598 - INFO - Removed client ('127.0.0.1', 55854). Total clients: 0
2025-06-02 19:37:51,598 - INFO - Connection closed for ('127.0.0.1', 55854)
2025-06-02 19:39:57,203 - INFO - New connection from ('127.0.0.1', 52391)
2025-06-02 19:39:57,203 - INFO - Client ('127.0.0.1', 52391) connected. Total clients: 1
2025-06-02 19:40:05,388 - INFO - Client ('127.0.0.1', 52391) disconnected
2025-06-02 19:40:05,388 - INFO - Removed client ('127.0.0.1', 52391). Total clients: 0
2025-06-02 19:40:05,396 - INFO - Connection closed for ('127.0.0.1', 52391)
2025-06-02 19:40:06,918 - INFO - New connection from ('127.0.0.1', 52396)
2025-06-02 19:40:06,918 - INFO - Client ('127.0.0.1', 52396) connected. Total clients: 1
2025-06-02 19:40:24,133 - INFO - Client ('127.0.0.1', 52396) disconnected
2025-06-02 19:40:24,133 - INFO - Removed client ('127.0.0.1', 52396). Total clients: 0
2025-06-02 19:40:24,133 - INFO - Connection closed for ('127.0.0.1', 52396)
2025-06-02 19:40:35,147 - INFO - New connection from ('127.0.0.1', 56482)
2025-06-02 19:40:35,148 - INFO - Client ('127.0.0.1', 56482) connected. Total clients: 1
2025-06-02 19:40:39,038 - INFO - New connection from ('127.0.0.1', 56484)
2025-06-02 19:40:39,039 - INFO - Client ('127.0.0.1', 56484) connected. Total clients: 2
2025-06-02 19:41:04,163 - INFO - Undo 5 moves
2025-06-02 19:41:38,296 - INFO - Move added at (7, 12)
2025-06-02 19:41:53,363 - INFO - Client ('127.0.0.1', 56482) disconnected
2025-06-02 19:41:53,363 - INFO - Removed client ('127.0.0.1', 56482). Total clients: 1
2025-06-02 19:41:53,363 - INFO - Connection closed for ('127.0.0.1', 56482)
2025-06-02 19:41:58,078 - INFO - Client ('127.0.0.1', 56484) disconnected
2025-06-02 19:41:58,078 - INFO - Removed client ('127.0.0.1', 56484). Total clients: 0
2025-06-02 19:41:58,078 - INFO - Connection closed for ('127.0.0.1', 56484)
2025-06-02 19:43:01,738 - INFO - New connection from ('127.0.0.1', 56521)
2025-06-02 19:43:01,738 - INFO - Client ('127.0.0.1', 56521) connected. Total clients: 1
2025-06-02 19:43:04,053 - INFO - New connection from ('127.0.0.1', 56522)
2025-06-02 19:43:04,053 - INFO - Client ('127.0.0.1', 56522) connected. Total clients: 2
2025-06-02 19:43:20,438 - INFO - Move added at (7, 12)
2025-06-02 19:45:15,818 - INFO - Undo 123 moves
2025-06-02 19:46:04,583 - INFO - Client ('127.0.0.1', 56521) disconnected
2025-06-02 19:46:04,583 - INFO - Removed client ('127.0.0.1', 56521). Total clients: 1
2025-06-02 19:46:04,583 - INFO - Connection closed for ('127.0.0.1', 56521)
2025-06-02 19:59:48,444 - INFO - Server started on localhost:8888
2025-06-02 20:00:16,901 - INFO - New connection from ('127.0.0.1', 56731)
2025-06-02 20:00:16,901 - INFO - Client ('127.0.0.1', 56731) connected. Total clients: 1
2025-06-02 20:00:38,221 - INFO - New connection from ('127.0.0.1', 56744)
2025-06-02 20:00:38,221 - INFO - Client ('127.0.0.1', 56744) connected. Total clients: 2
2025-06-02 20:00:54,252 - INFO - Move added at (7, 12)
2025-06-02 20:00:57,389 - INFO - Move added at (7, 12)
2025-06-02 20:01:00,537 - INFO - Move added at (7, 12)
2025-06-02 20:01:04,921 - INFO - Move added at (7, 12)
2025-06-02 20:01:08,051 - INFO - Move added at (7, 12)
2025-06-02 20:01:10,802 - INFO - Client ('127.0.0.1', 56744) disconnected
2025-06-02 20:01:10,802 - INFO - Removed client ('127.0.0.1', 56744). Total clients: 1
2025-06-02 20:01:10,802 - INFO - Connection closed for ('127.0.0.1', 56744)
2025-06-02 20:01:50,638 - INFO - Client ('127.0.0.1', 56731) disconnected
2025-06-02 20:01:50,638 - INFO - Removed client ('127.0.0.1', 56731). Total clients: 0
2025-06-02 20:01:50,638 - INFO - Connection closed for ('127.0.0.1', 56731)
2025-06-02 20:03:56,301 - INFO - Server started on localhost:8888
2025-06-02 20:04:21,376 - INFO - New connection from ('127.0.0.1', 56766)
2025-06-02 20:04:21,376 - INFO - Client ('127.0.0.1', 56766) connected. Total clients: 1
2025-06-02 20:04:38,723 - INFO - New connection from ('127.0.0.1', 56768)
2025-06-02 20:04:38,723 - INFO - Client ('127.0.0.1', 56768) connected. Total clients: 2
2025-06-02 20:04:58,132 - INFO - Move added at (7, 12)
2025-06-02 20:05:52,682 - INFO - Client ('127.0.0.1', 56766) disconnected
2025-06-02 20:05:52,682 - INFO - Removed client ('127.0.0.1', 56766). Total clients: 1
2025-06-02 20:05:52,682 - INFO - Connection closed for ('127.0.0.1', 56766)
2025-06-02 20:05:59,408 - INFO - Client ('127.0.0.1', 56768) disconnected
2025-06-02 20:05:59,408 - INFO - Removed client ('127.0.0.1', 56768). Total clients: 0
2025-06-02 20:05:59,412 - INFO - Connection closed for ('127.0.0.1', 56768)
2025-06-02 20:08:07,974 - INFO - Server started on localhost:8888
2025-06-02 20:08:21,919 - INFO - New connection from ('127.0.0.1', 56788)
2025-06-02 20:08:21,919 - INFO - Client ('127.0.0.1', 56788) connected. Total clients: 1
2025-06-02 20:08:38,019 - INFO - New connection from ('127.0.0.1', 56789)
2025-06-02 20:08:38,019 - INFO - Client ('127.0.0.1', 56789) connected. Total clients: 2
2025-06-02 20:08:52,374 - INFO - Move added at (7, 12)
2025-06-02 20:09:16,154 - INFO - Client ('127.0.0.1', 56788) disconnected
2025-06-02 20:09:16,154 - INFO - Removed client ('127.0.0.1', 56788). Total clients: 1
2025-06-02 20:09:16,154 - INFO - Connection closed for ('127.0.0.1', 56788)
2025-06-02 20:09:16,854 - INFO - Client ('127.0.0.1', 56789) disconnected
2025-06-02 20:09:16,854 - INFO - Removed client ('127.0.0.1', 56789). Total clients: 0
2025-06-02 20:09:16,854 - INFO - Connection closed for ('127.0.0.1', 56789)
2025-06-02 20:15:44,109 - INFO - New connection from ('127.0.0.1', 56850)
2025-06-02 20:15:44,109 - INFO - Client ('127.0.0.1', 56850) connected. Total clients: 1
2025-06-02 20:16:03,659 - INFO - New connection from ('127.0.0.1', 56851)
2025-06-02 20:16:03,659 - INFO - Client ('127.0.0.1', 56851) connected. Total clients: 2
2025-06-02 20:16:31,994 - INFO - Client ('127.0.0.1', 56850) disconnected
2025-06-02 20:16:31,994 - INFO - Removed client ('127.0.0.1', 56850). Total clients: 1
2025-06-02 20:16:31,994 - INFO - Connection closed for ('127.0.0.1', 56850)
2025-06-02 20:16:35,134 - INFO - New connection from ('127.0.0.1', 56855)
